step,icaoAddress,callSign,latitude,longitude,altitude,horizontalSpeed,verticalSpeed,heading
0,0x000090,TAR090,30.9,-98.8,3000,100,500,0
0,0x000091,TAR091,30,-98.9,3000,100,500,0
0,0x000092,TAR092,30.1,-98.9,3000,100,500,0
0,0x000093,TAR093,30.2,-98.9,3000,100,500,0
0,0x000094,TAR094,30.3,-98.9,3000,100,500,0
0,0x000095,TAR095,30.4,-98.9,3000,100,500,0
0,0x000096,TAR096,30.5,-98.9,3000,100,500,0
0,0x000097,TAR097,30.6,-98.9,3000,100,500,0
0,0x000098,TAR098,30.7,-98.9,3000,100,500,0
0,0x000099,TAR099,30.8,-98.9,3000,100,500,0
0,0x000100,TAR100,30.9,-98.9,3000,100,500,0
